time,rev,note,scene,maxSteps,frames,resolution,medianMs,meanMs,p95Ms,minMs,maxMs,fps,goal
2026-07-03T21:00:39Z,8d1e757+dirty,"round 15: threadgroup tile cone-march prepass (hierarchical start depth)",bench-mandelbox,120,60,1024,7.31,7.31,7.32,7.30,7.33,136.8,-
2026-07-03T21:00:39Z,8d1e757+dirty,"round 15: threadgroup tile cone-march prepass (hierarchical start depth)",bench-mandelbox,120,60,1800,20.68,20.70,20.78,20.66,20.92,48.4,-
2026-07-03T21:00:39Z,8d1e757+dirty,"round 15: threadgroup tile cone-march prepass (hierarchical start depth)",bench-mandelbox,120,60,2048,26.39,26.45,26.49,26.36,28.03,37.9,PASS(≥30)
2026-07-03T21:03:43Z,8d1e757+dirty,"round 15b: cone prepass as separate coarse dispatch (no barrier/idle threads)",bench-mandelbox,120,60,1024,3.86,4.63,6.76,3.84,7.32,258.8,-
2026-07-03T21:03:43Z,8d1e757+dirty,"round 15b: cone prepass as separate coarse dispatch (no barrier/idle threads)",bench-mandelbox,120,60,1800,10.23,10.23,10.24,10.21,10.31,97.8,-
2026-07-03T21:03:43Z,8d1e757+dirty,"round 15b: cone prepass as separate coarse dispatch (no barrier/idle threads)",bench-mandelbox,120,60,2048,12.88,12.90,12.91,12.86,13.69,77.6,PASS(≥30)
2026-07-03T21:07:25Z,8d1e757+dirty,"round 16: CPU caching (texture/stats reuse, bench readback skip, env hoists)",bench-mandelbox,120,60,1024,4.02,4.04,4.28,3.84,4.29,248.8,-
2026-07-03T21:07:25Z,8d1e757+dirty,"round 16: CPU caching (texture/stats reuse, bench readback skip, env hoists)",bench-mandelbox,120,60,1800,10.57,10.52,10.78,10.22,11.03,94.6,-
2026-07-03T21:07:25Z,8d1e757+dirty,"round 16: CPU caching (texture/stats reuse, bench readback skip, env hoists)",bench-mandelbox,120,60,2048,13.23,13.24,13.54,12.88,13.80,75.6,PASS(≥30)
2026-07-03T21:08:02Z,8d1e757+dirty,"round 17: specialized mathMode .fast + bit-pattern NaN guard",bench-mandelbox,120,60,1024,3.85,3.85,3.86,3.84,3.86,259.8,-
2026-07-03T21:08:02Z,8d1e757+dirty,"round 17: specialized mathMode .fast + bit-pattern NaN guard",bench-mandelbox,120,60,1800,10.23,10.25,10.33,10.21,10.82,97.8,-
2026-07-03T21:08:02Z,8d1e757+dirty,"round 17: specialized mathMode .fast + bit-pattern NaN guard",bench-mandelbox,120,60,2048,12.91,13.08,13.57,12.86,13.62,77.5,PASS(≥30)
2026-07-03T21:14:35Z,8d1e757+dirty,"round 15c: verify-panel fixes (3x prepass margin, poisoned-start restart, far-plane guard)",bench-mandelbox,120,60,1024,4.33,4.22,4.39,4.01,4.49,230.8,-
2026-07-03T21:14:35Z,8d1e757+dirty,"round 15c: verify-panel fixes (3x prepass margin, poisoned-start restart, far-plane guard)",bench-mandelbox,120,60,1800,11.07,11.13,11.48,10.87,11.64,90.3,-
2026-07-03T21:14:35Z,8d1e757+dirty,"round 15c: verify-panel fixes (3x prepass margin, poisoned-start restart, far-plane guard)",bench-mandelbox,120,60,2048,14.04,14.03,14.41,13.75,14.61,71.2,PASS(≥30)
2026-07-03T21:26:31Z,3fb2dd7,"Live cone-march prepass (Mac/iOS session encoder) + perf-tracked commit flow",bench-mandelbox,120,60,1024,4.01,4.03,4.03,4.00,4.87,249.2,-
2026-07-03T21:26:31Z,3fb2dd7,"Live cone-march prepass (Mac/iOS session encoder) + perf-tracked commit flow",bench-mandelbox,120,60,1800,10.86,10.90,11.00,10.84,11.68,92.1,-
2026-07-03T21:26:31Z,3fb2dd7,"Live cone-march prepass (Mac/iOS session encoder) + perf-tracked commit flow",bench-mandelbox,120,60,2048,13.66,13.69,13.87,13.63,14.24,73.2,PASS(≥30)
2026-07-03T21:54:43Z,464dada,"visionOS raster cone-march + specialization port (per-view prepass, specialized fragment pipeline, raster spec cache)",bench-mandelbox,120,60,1024,4.02,4.04,4.07,4.00,4.14,248.5,-
2026-07-03T21:54:43Z,464dada,"visionOS raster cone-march + specialization port (per-view prepass, specialized fragment pipeline, raster spec cache)",bench-mandelbox,120,60,1800,10.92,10.94,11.04,10.90,11.06,91.6,-
2026-07-03T21:54:43Z,464dada,"visionOS raster cone-march + specialization port (per-view prepass, specialized fragment pipeline, raster spec cache)",bench-mandelbox,120,60,2048,14.81,14.70,15.39,13.65,15.52,67.5,PASS(≥30)
2026-07-03T22:16:19Z,661e719,"Cone-prepass UI controls (toggle + Cone Stability picker) + function_constant 9 shimmer margin",bench-mandelbox,120,60,1024,4.02,4.04,4.10,4.00,4.69,249.1,-
2026-07-03T22:16:19Z,661e719,"Cone-prepass UI controls (toggle + Cone Stability picker) + function_constant 9 shimmer margin",bench-mandelbox,120,60,1800,10.87,10.87,10.95,10.85,10.95,92.0,-
2026-07-03T22:16:19Z,661e719,"Cone-prepass UI controls (toggle + Cone Stability picker) + function_constant 9 shimmer margin",bench-mandelbox,120,60,2048,13.65,13.66,13.73,13.64,13.75,73.2,PASS(≥30)
